Date Watched,Netflix_Title,Title,catalog_title,corrected_type,director,country,listed_in,duration,rating,release_year,match_method,match_score,is_technical_asset_title
2025-03-29 21:35:51,Paradise Police: Saison 4: Dadounet rentre à la maison (Épisode 2),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 21:20:04,Paradise Police: Saison 4: Le Repaire des Bonhommes (Épisode 1),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 20:56:49,Paradise Police: Saison 4: Le Repaire des Bonhommes (Épisode 1),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 20:29:22,Paradise Police: Saison 3: PARAD-AESH (Épisode 12),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 20:11:42,Paradise Police: Saison 3: Ce qui se passe à Chattémala (Épisode 11),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 19:46:40,Bande-annonce : Carmen Sandiego,Carmen Sandiego,Carmen Sandiego,TV Show,,United States,"Kids' TV, TV Thrillers",4 Seasons,TV-Y7,2021.0,exact,,False
2025-03-29 18:26:56,Paradise Police: Saison 3: Ce qui se passe à Chattémala (Épisode 11),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 18:00:32,Paradise Police: Saison 3: Liaison fœtale (Épisode 10),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 17:33:45,Paradise Police: Saison 3: Donjons et Gros c*ns (Épisode 9),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 17:30:39,Paradise Police: Saison 3: Dirigeableville (Épisode 8),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 16:37:48,Paradise Police: Saison 3: Dirigeableville (Épisode 8),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 16:00:29,Paradise Police: Saison 3: Ivresse aveugle (Épisode 7),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 15:39:07,Paradise Police: Saison 3: Une semence en or (Épisode 6),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 15:17:40,Paradise Police: Saison 3: Règlement de comptes à O-bèse Corral (Épisode 5),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 14:53:55,Paradise Police: Saison 3: Alerte à la gâchette (Épisode 4),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 00:41:04,Paradise Police: Saison 3: Alerte à la gâchette (Épisode 4),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-29 00:18:07,Paradise Police: Saison 3: À cause des glaçons (Épisode 3),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 23:52:04,Paradise Police: Saison 3: Super flics (Épisode 2),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 23:26:34,Paradise Police: Saison 3: Gare aux retombées (Épisode 1),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 23:02:14,Paradise Police: Saison 2: Opération DD (Épisode 8),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 20:30:47,Paradise Police: Saison 2: Opération DD (Épisode 8),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 20:02:01,Paradise Police: Saison 2: La brigade se met au vert (Épisode 7),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 19:37:16,Paradise Police: Saison 2: Fitz se mouille (Épisode 6),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 19:12:28,"Paradise Police: Saison 2: Le Père, le Fils et le Post-it (Épisode 5)",Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 18:44:18,Paradise Police: Saison 2: La gaufre de Wally (Épisode 4),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 17:47:52,Paradise Police: Saison 2: Tucker Carlson est une tête de nœud (Épisode 3),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 17:22:10,Paradise Police: Saison 2: La puissance des glaouis (Épisode 2),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 16:56:31,Paradise Police: Saison 2: Un parfum de paradis (Épisode 1),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 16:29:28,Paradise Police: Saison 1: L'esprit de Noël (Épisode 10),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 16:03:20,Paradise Police: Saison 1: Mission réconciliation (Épisode 9),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 15:38:03,Paradise Police: Saison 1: L'unité spéciale (Épisode 8),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 15:18:02,Paradise Police: Saison 1: L'école de police (Épisode 7),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-28 15:06:46,Paradise Police: Saison 1: Bienvenue à Paradise (Épisode 1),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-27 22:21:05,Paradise Police: Saison 1: L'école de police (Épisode 7),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-27 21:54:49,Paradise Police: Saison 1: La famille Jabowski (Épisode 6),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-27 21:28:31,Paradise Police: Saison 1: Un rituel satanique (Épisode 5),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-27 20:53:23,Paradise Police: Saison 1: Karla (Épisode 4),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-27 20:27:48,Paradise Police: Saison 1: Blue Lives Matter (Épisode 3),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-27 20:02:25,Paradise Police: Saison 1: Une histoire de fesses (Épisode 2),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-27 19:35:39,Paradise Police: Saison 1: Bienvenue à Paradise (Épisode 1),Paradise Police,Paradise Police,TV Show,Jared Stern,USA,"Animation, Comedy, Adult Animation",3 Seasons,TV-MA,2018.0,exact,,False
2025-03-27 18:51:39,Bande-annonce : Twelve Minutes,Twelve Minutes,,Movie,,,,,,,unmatched,,False
2025-03-27 18:49:09,Bande-annonce : Love Is Blind,Love Is Blind,Love Is Blind,TV Show,,United States,"Reality TV, Romantic TV Shows",1 Season,TV-MA,2021.0,exact,,False
2025-03-27 14:11:42,Rick et Morty: Saison 6: Le Père Rick-Noël est une Mortyure (Épisode 10),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 13:49:32,Rick et Morty: Saison 6: Les Rickvaliers du roi Morthur (Épisode 9),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 13:27:17,Rick et Morty: Saison 6: De mal en pisse (Épisode 8),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 13:06:11,Rick et Morty: Saison 6: Le héros aux mille et un Rick (Épisode 7),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 12:43:41,Rick et Morty: Saison 6: JuRicksic Mort (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 12:21:09,Rick et Morty: Saison 6: Desmithation finale (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 12:00:41,Rick et Morty: Saison 6: Famille nocturne (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 11:57:46,Rick et Morty: Saison 6: Bethic instinct (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 00:23:39,Rick et Morty: Saison 6: Bethic instinct (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-27 00:01:32,Rick et Morty: Saison 6: Une mort-vie bien vécue (Épisode 2),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 23:38:48,Rick et Morty: Saison 6: Solaricks (Épisode 1),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 23:16:51,Rick et Morty: Saison 5: SamouRick Jack (Épisode 10),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 22:55:45,Rick et Morty: Saison 5: Sans SaRick rien ne va (Épisode 9),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 22:33:48,"Rick et Morty: Saison 5: Rick, un ami qui vous veut pas que du bien (Épisode 8)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 22:14:43,Rick et Morty: Saison 5: GoTron JerrySis Rickvangelion (Épisode 7),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 22:09:10,Rick et Morty: Saison 5: Rick et Morty : Spécial Thanksgiving (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 22:07:16,Rick et Morty: Saison 5: Amortycan Grafrickty (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 21:03:46,Rick et Morty: Saison 5: Amortycan Grafrickty (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 21:01:40,Rick et Morty: Saison 5: Rickdependence jet (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 20:01:01,Rick et Morty: Saison 5: Rickdependence jet (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 19:58:18,Rick et Morty: Saison 5: Une vérickté qui dérange (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 19:35:51,"Rick et Morty: Saison 5: Mes doubles, mon Morty et moi (Épisode 2)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 19:17:34,Rick et Morty: Saison 5: Les Ricksins de la colère (Épisode 1),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 19:16:41,Rick et Morty: Saison 4: Rickstoires sans fin (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 19:16:28,Rick et Morty: Saison 4: Rattlestar Ricklactica (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 16:21:28,Rick et Morty: Saison 4: Rattlestar Ricklactica (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 15:59:13,Rick et Morty: Saison 4: C'est mon dragon et bien plus encore (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 15:36:44,Rick et Morty: Saison 4: Vol au-dessus d'un nid de Morty (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 15:14:04,Rick et Morty: Saison 4: Le vieil homme et la merde (Épisode 2),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 14:53:13,Rick et Morty: Saison 4: Edge of Tomorty: Rick Die Rickpeat (Épisode 1),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 14:51:55,"Rick et Morty: Saison 2: Prout, l'extra-terrestre (Épisode 2)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 14:27:59,Rick et Morty: Saison 3: L'ami de Washington (Épisode 10),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 14:05:38,Rick et Morty: Saison 3: Froopyland (Épisode 9),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 13:43:32,Rick et Morty: Saison 3: Les souvenirs effacés de Morty (Épisode 8),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 13:15:56,Rick et Morty: Saison 3: Confusion en Ricklantide (Épisode 7),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 12:53:20,Rick et Morty: Saison 3: Repos et Ricklaxation (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 12:30:55,Rick et Morty: Saison 3: Conspiration (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 12:08:52,Rick et Morty: Saison 3: Troisième édition (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 12:06:23,Rick et Morty: Saison 3: Rick-ornichon (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 12:01:56,Rick et Morty: Saison 3: À la recherche de la pierre verte (Épisode 2),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 11:59:29,Rick et Morty: Saison 3: À la recherche de Rick (Épisode 1),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 11:59:25,Rick et Morty: Saison 2: Mariage à la squanchaise (Épisode 10),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 11:59:12,Rick et Morty: Saison 2: Les Ricks sont tombés sur la tête (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 09:17:14,Rick et Morty: Saison 2: On va vous faire schwifter (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 09:17:06,Rick et Morty: Saison 2: Total Rickall (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 09:14:29,Rick et Morty: Saison 2: Assimilation auto-érotique (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 08:52:50,"Rick et Morty: Saison 2: Prout, l'extra-terrestre (Épisode 2)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 04:44:52,Rick et Morty: Saison 3: Conspiration (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 04:44:50,Rick et Morty: Saison 3: Troisième édition (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 04:43:23,Rick et Morty: Saison 3: Rick-ornichon (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 04:20:46,Rick et Morty: Saison 3: À la recherche de la pierre verte (Épisode 2),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 03:58:29,Rick et Morty: Saison 3: À la recherche de Rick (Épisode 1),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 03:33:44,Rick et Morty: Saison 2: Mariage à la squanchaise (Épisode 10),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 03:11:36,"Rick et Morty: Saison 2: Qui est-ce qui purge, maintenant ? (Épisode 9)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 02:49:04,Rick et Morty: Saison 2: Cable Interdimensionnel 2 : Tenter le destin (Épisode 8),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 02:26:10,"Rick et Morty: Saison 2: Mini-Rick, méga hic (Épisode 7)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 02:03:49,Rick et Morty: Saison 2: Les Ricks sont tombés sur la tête (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 01:40:49,Rick et Morty: Saison 2: On va vous faire schwifter (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 01:32:39,Rick et Morty: Saison 2: Total Rickall (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 01:29:57,Rick et Morty: Saison 2: Assimilation auto-érotique (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 01:10:55,"Rick et Morty: Saison 2: Prout, l'extra-terrestre (Épisode 2)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 01:05:04,"Rick et Morty: Saison 2: Prout, l'extra-terrestre (Épisode 2)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 01:03:58,Rick et Morty: Saison 2: Effet Rick-ochet (Épisode 1),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 00:41:43,Rick et Morty: Saison 1: Ricksy Business (Épisode 11),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-26 00:19:18,Rick et Morty: Saison 1: Rencontres du troisième Rick (Épisode 10),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-25 23:58:02,Rick et Morty: Saison 1: La petite bou-Rick des horreurs (Épisode 9),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-25 23:55:33,Rick et Morty: Saison 1: Télé...visions (Épisode 8),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-25 23:50:37,Rick et Morty: Saison 1: Gazorpazorp Junior (Épisode 7),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-25 23:30:50,Rick et Morty: Saison 1: E-Rick-xir d'amour (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-25 19:45:23,Niveau 1 (Bande-annonce) : Héros fragile,Niveau 1,,Movie,,,,,,,unmatched,,False
2025-03-25 19:19:17,Farzar: Saison 1: Guerre et paix (Épisode 10),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-25 18:56:04,Farzar: Saison 1: Les faux souvenirs (Épisode 9),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-25 18:32:30,Farzar: Saison 1: Le tout-puissant Ozner (Épisode 8),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-25 18:07:25,"Farzar: Saison 1: Baz, frange et MégaCerveau (Épisode 7)",Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-25 17:43:39,Farzar: Saison 1: La réunion de flammylle (Épisode 6),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-25 17:24:54,Farzar: Saison 1: Les aventures de Daddy O'Saquet (Épisode 5),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-25 00:09:53,Farzar: Saison 1: Les aventures de Daddy O'Saquet (Épisode 5),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-24 23:45:52,Farzar: Saison 1: La Sainte-Papouillette (Épisode 4),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-24 23:21:41,Farzar: Saison 1: Il faut sauver les Xénodémons (Épisode 3),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-24 22:54:45,Farzar: Saison 1: La révolution des robots (Épisode 2),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-24 22:28:42,Farzar: Saison 1: Bienvenue sur Farzar (Épisode 1),Farzar,Farzar,TV Show,Directeur Inconnu,USA,"Animation, Sci-Fi",1 Season,TV-MA,2021.0,exact,,False
2025-03-24 22:28:15,Rick et Morty: Saison 1: E-Rick-xir d'amour (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 22:28:10,Rick et Morty: Saison 1: Gazorpazorp Junior (Épisode 7),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 22:23:49,Rick et Morty: Saison 1: E-Rick-xir d'amour (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 22:19:25,Rick et Morty: Saison 1: E-Rick-xir d'amour (Épisode 6),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 22:07:39,Rick et Morty: Saison 1: La boîte à larbins (Épisode 5),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 21:47:38,Rick et Morty: Saison 1: M. Night Shaym-Aliens ! (Épisode 4),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 21:26:41,Rick et Morty: Saison 1: Anatomy Park (Épisode 3),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 21:24:39,"Rick et Morty: Saison 1: I, Croquette (Épisode 2)",Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 21:03:58,Rick et Morty: Saison 1: Pilote (Épisode 1),Rick et Morty,,TV Show,,,,,,,unmatched,,False
2025-03-24 17:26:08,Mulligan: Saison 1: Pas mon président (Épisode 9),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-24 17:01:24,Mulligan: Saison 1: Un trésor en graines (Épisode 8),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-24 16:35:14,Mulligan: Saison 1: Une chasse aux œufs extraordinaire (Épisode 7),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-24 16:26:42,Mulligan: Saison 1: La saison n'est pas finie (Épisode 6),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-23 14:42:28,Mulligan: Saison 1: La saison n'est pas finie (Épisode 6),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-23 14:17:45,Mulligan: Saison 1: La schlingue (Épisode 5),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-23 14:00:12,Mulligan: Saison 1: La plus timbrée (Épisode 4),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-23 10:32:36,Mulligan: Saison 1: Une grosse teuf à l'ancienne (Épisode 3),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-22 21:54:15,Mulligan: Saison 1: Une grosse teuf à l'ancienne (Épisode 3),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
2025-03-22 21:28:42,Mulligan: Saison 1: Une belle matinée en Amérique (Épisode 2),Mulligan,Mulligan,Movie,Directeur Inconnu,USA,"Comedy, Drama",95 min,PG-13,2022.0,exact,,False
